account_id,order_id,symbol,order_started,order_completed,total_shares_purchased,total_cost_of_order,attr_0,attr_1,attr_2
764885864,c5b65b12-bdda-43b7-970f-a4b1bf6454d3,lln,2025-10-28T19:56:06.441085+00:00,,340,65.83,foo,bar,baz
180336109,e0506fa9-5a78-4900-9c54-a2bb4575ada7,lln,2025-10-28T19:56:06.441116+00:00,,988,90.34,foo,bar,baz
166315167,a80b462c-64e8-4f06-94da-62a157fc02ce,lln,2025-10-28T19:56:06.441124+00:00,,198,86.19,foo,bar,baz
347953274,6a8572fd-e836-48b1-8dc1-26a839d13ad8,lln,2025-10-28T19:56:06.441136+00:00,,954,30.50,foo,bar,baz
191659728,40eedc14-0fbf-4333-88da-cb8b22297be5,lln,2025-10-28T19:56:06.441142+00:00,,630,22.65,foo,bar,baz
134476427,d2e9b789-0436-408b-afd6-459051557497,lln,2025-10-28T19:56:06.441147+00:00,,874,61.38,foo,bar,baz
749769500,60deb5d7-0cf8-457b-8fd3-6b12e5654d81,lln,2025-10-28T19:56:06.441151+00:00,,454,96.53,foo,bar,baz
403459179,14904b94-dfeb-4b8d-a2ac-f83efd255291,lln,2025-10-28T19:56:06.441157+00:00,,178,70.29,foo,bar,baz
759932039,fdb8cc43-302b-4196-8a99-886da7f4582c,lln,2025-10-28T19:56:06.441163+00:00,,964,37.73,foo,bar,baz
55029716,50a717c3-3309-45af-8885-5eb2b73f3c8e,lln,2025-10-28T19:56:06.441168+00:00,,369,28.55,foo,bar,baz
929656144,8433e732-4a53-4ffb-9223-5104bffd3b87,lln,2025-10-28T19:56:06.441172+00:00,,880,8.68,foo,bar,baz
626980890,4647f629-3e27-4def-bc7e-7c03e353b4dc,lln,2025-10-28T19:56:06.441176+00:00,,695,70.11,foo,bar,baz
414574308,767d648e-f9e4-4fb5-be87-f6c435cac3b0,lln,2025-10-28T19:56:06.441180+00:00,,293,17.19,foo,bar,baz
923293940,d10ea079-22c4-4b4a-b8bf-7d9cf50ce28d,lln,2025-10-28T19:56:06.441184+00:00,,283,19.77,foo,bar,baz
979798068,125aee34-94be-4ff9-81f2-9f7a00b797af,lln,2025-10-28T19:56:06.441188+00:00,,91,48.71,foo,bar,baz
163242503,30bf25b7-efcd-4575-b266-3c19d78d5fab,lln,2025-10-28T19:56:06.441192+00:00,,40,21.13,foo,bar,baz
929523342,5b15fe04-b367-4eaf-8acd-7b6db9f6c7f4,lln,2025-10-28T19:56:06.441196+00:00,,91,9.80,foo,bar,baz
297131652,747e91c4-b62a-4a37-b8e9-475ce9ab6b8b,lln,2025-10-28T19:56:06.441200+00:00,,260,14.19,foo,bar,baz
890560268,41be00e2-eb63-4680-80a4-52896fc3b985,lln,2025-10-28T19:56:06.441203+00:00,,570,10.74,foo,bar,baz
628055871,7ac1d76d-36a1-40de-b107-b85abef2a4ab,lln,2025-10-28T19:56:06.441207+00:00,,970,58.63,foo,bar,baz
511120776,9bfa3b1b-cc31-4774-9b8c-9519f8000b9d,lln,2025-10-28T19:56:06.441211+00:00,,582,61.17,foo,bar,baz
460539190,8574a5b3-a921-4eeb-aad9-b02b43f06e3e,lln,2025-10-28T19:56:06.441215+00:00,,440,19.14,foo,bar,baz
669914014,636deafd-1f75-4560-a023-7c8d8b220831,lln,2025-10-28T19:56:06.441218+00:00,,189,2.48,foo,bar,baz
132504254,f9ef71ba-a75e-470b-82dc-a6a0e5b1d259,lln,2025-10-28T19:56:06.441222+00:00,,615,88.63,foo,bar,baz
552634371,b3dad71b-a73b-4b65-8d85-36b4c68a6188,lln,2025-10-28T19:56:06.441226+00:00,,100,94.82,foo,bar,baz
939065235,06dc1705-4a73-4c73-b8e4-698cff8aadaf,lln,2025-10-28T19:56:06.441230+00:00,,687,24.08,foo,bar,baz
763468409,616e903c-b3dd-4f08-acd5-22637675d1a9,lln,2025-10-28T19:56:06.441234+00:00,,798,30.50,foo,bar,baz
452647226,b3268a18-aba8-42f8-8f6b-2a254d21552c,lln,2025-10-28T19:56:06.441239+00:00,,960,22.71,foo,bar,baz
781365486,93b598c9-89d8-4906-a762-447436b85a68,lln,2025-10-28T19:56:06.441243+00:00,,780,18.48,foo,bar,baz
497635780,9e8c6152-c7db-49a3-8538-27e1fada95ef,lln,2025-10-28T19:56:06.441246+00:00,,739,92.39,foo,bar,baz
848859422,59f8d82c-21b5-456c-97f7-886466536fbe,lln,2025-10-28T19:56:06.441250+00:00,,88,38.73,foo,bar,baz
237950460,457ba76a-f155-46ea-9805-f31d1f066f99,lln,2025-10-28T19:56:06.441254+00:00,,59,52.22,foo,bar,baz
619823627,adb5ba46-b9af-46cd-91e8-ae4251f052e2,lln,2025-10-28T19:56:06.441258+00:00,,342,40.47,foo,bar,baz
100913104,eb77d3a8-e981-4dc3-97be-f7d3be9ff1a0,lln,2025-10-28T19:56:06.441262+00:00,,912,81.73,foo,bar,baz
219377500,d211dffa-1164-4f02-8348-b08a96398716,lln,2025-10-28T19:56:06.441266+00:00,,780,74.06,foo,bar,baz
579791288,24260699-2992-4453-81e5-e6574cdc265f,lln,2025-10-28T19:56:06.441269+00:00,,12,39.17,foo,bar,baz
